character n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	2000__DEU	2000__NDL
('o', 't', '’')	1	0	1	0	0	0	3	3	0	0	0	0	0	0
('s', 'k', 'b')	1	0	0	0	0	0	0	0	0	0	0	0	5	0
('1', '8', '0')	2	0	1	0	0	0	10	3	2	0	2	0	206	11
('8', '0', '5')	1	0	0	0	0	0	1	0	0	0	0	0	23	0
('0', '5', '.')	1	0	0	0	0	0	0	1	0	0	0	0	11	8
('u', 'g', 'd')	1	0	10	9	0	0	2	62	19	0	0	0	4	114
('k', 'e', ')')	1	0	0	0	0	0	0	2	0	1	0	0	0	7
(')', ' ', 'r')	1	0	0	0	0	0	0	3	0	4	0	5	76	6
('x', 't', 'i')	0	0	0	0	0	6	0	0	1	0	3	0	20	13
('n', 'z', 'ä')	1	0	0	0	0	0	2	0	0	0	0	0	66	0
('8', '0', '2')	1	0	0	0	0	0	1	0	0	0	0	0	74	1
('0', '2', '.')	1	0	0	0	0	0	0	1	0	0	0	0	78	6
('-', 'p', 'u')	0	0	0	0	0	1	3	1	1	0	0	11	114	3
('9', '1', '4')	2	0	0	0	0	0	0	2	0	0	0	0	8	9
('z', 'a', ',')	1	0	0	0	0	0	1	1	1	0	0	0	0	3
('0', ' ', 't')	2	0	0	0	0	0	4	7	2	2	3	0	326	55
('0', ' ', 'f')	4	0	0	0	0	0	0	1	0	2	1	0	438	11
('t', ' ', '6')	2	0	0	0	0	0	2	2	1	2	0	0	494	30
(' ', '6', '0')	2	0	1	0	0	0	2	9	5	4	2	0	1002	29
('1', '2', '0')	1	0	0	0	0	0	2	0	0	0	0	0	264	12
('(', 'd', 'u')	1	0	0	0	0	0	0	1	0	0	0	0	0	9
('u', 'ß', 'b')	1	0	0	0	0	0	0	0	0	0	0	1	87	0
('e', ' ', ')')	0	0	0	0	0	1	0	0	0	0	0	0	1301	0
('i', 't', 'y')	1	0	0	0	0	0	0	1	2	1	0	0	845	20
('r', '´', 't')	2	0	0	0	0	0	6	0	0	5	1	0	0	0
('v', 'u', 'i')	1	0	0	18	0	0	36	202	5	0	0	0	1	19
('l', ' ', '“')	0	0	0	0	0	1	0	6	2	0	0	0	0	0
('o', '’', 'm')	7	0	0	0	0	0	8	0	0	0	0	0	0	0
('´', ' ', 'l')	1	0	0	0	0	0	0	0	0	1	4	0	0	0
('e', 'r', '´')	1	0	0	0	0	0	1	0	0	0	4	0	0	0
('1', '2', '6')	2	0	0	0	0	0	0	0	0	0	0	0	32	2
('u', 'f', 'b')	1	0	0	0	0	0	0	0	0	0	0	4	916	0
('j', 'ü', 'i')	4	0	0	0	0	0	12	0	0	0	0	0	0	0
("'", 'e', ',')	1	0	1	21	0	0	8	0	0	0	0	0	0	0
('o', ' ', 'y')	1	0	0	0	0	0	0	0	0	0	0	0	10	1
('u', 'e', 'c')	1	0	1	0	0	0	1	0	0	0	1	0	60	0
('e', 'r', '<')	1	0	0	0	0	0	22	0	0	0	0	0	0	0
('u', 'm', '"')	1	0	0	0	0	0	0	0	0	1	0	0	2	4
('d', '“', ' ')	3	0	0	0	0	0	11	0	0	1	2	14	0	0
('o', 'o', '’')	1	0	3	2	0	0	0	1	2	0	0	0	0	0
('m', 't', 'k')	5	0	0	0	0	0	0	0	0	1	0	0	54	0
('7', '8', '7')	1	0	0	0	0	0	0	0	0	0	0	0	3	2
('8', '7', '.')	1	0	0	0	0	0	0	0	0	0	0	0	4	2
('a', 't', '´')	1	0	0	0	0	0	2	0	0	4	3	0	0	0
('n', 'n', 'y')	1	0	0	0	0	0	1	13	30	0	0	2	38	24
('d', 'z', 'i')	1	0	0	0	0	0	0	12	4	0	0	0	14	11
('f', 'g', 'l')	1	0	0	0	0	0	0	2	1	0	0	2	4	0
('e', 'a', ':')	1	0	3	0	0	0	0	0	0	0	0	0	0	3
('n', '!', '<')	2	0	0	0	0	0	12	0	0	0	0	0	0	0
('k', 'c', 'o')	1	0	0	0	0	0	0	1	0	0	0	0	15	6
('„', 'a', 'b')	0	0	0	0	0	1	3	0	0	0	0	10	0	0
('l', 'f', 'k')	1	0	1	1	0	0	1	8	0	0	0	0	10	3
('p', 'p', '“')	0	0	0	0	0	1	0	0	0	2	0	8	0	0
('m', ' ', '9')	1	0	1	0	0	0	0	1	0	1	0	0	163	2
(' ', '9', '2')	1	0	0	0	0	0	1	1	0	0	0	0	71	4
('9', '2', ',')	1	0	0	0	0	0	0	1	0	0	0	0	11	6
('2', ',', '2')	2	0	0	0	0	0	1	0	0	0	0	0	149	2
(',', '2', ' ')	1	0	0	0	0	0	1	0	0	0	0	1	736	12
(' ', '3', ':')	1	0	0	0	0	0	0	0	0	0	0	0	10	0
('3', ':', ' ')	1	0	0	0	0	0	0	1	0	0	0	0	0	10
('2', ' ', 'i')	1	0	0	0	0	0	3	3	2	8	0	0	138	10
('ß', 'e', 'm')	3	0	0	0	0	0	1	0	0	0	0	0	83	0
('(', 'h', 'o')	1	0	3	0	0	0	2	3	1	0	0	1	0	22
('z', 'i', 'u')	2	0	1	0	0	0	0	0	0	0	0	0	130	1
('l', '’', 'e')	0	0	0	0	0	1	3	0	1	0	0	1	0	0
('s', 'k', 's')	1	0	0	0	0	0	0	0	0	0	0	0	37	0
('„', 'l', 'a')	0	0	0	0	0	1	3	0	0	0	0	8	0	0
('a', 'm', 'y')	1	0	0	0	0	0	0	0	0	0	0	0	9	0
('„', 'v', 'i')	1	0	0	0	0	0	4	0	0	1	1	5	0	0
('m', 'd', 'k')	1	0	0	0	0	0	1	0	0	0	0	0	6	0
('„', 'a', 's')	1	0	3	3	0	0	1	0	0	0	0	1	0	0
('l', '´', 'n')	1	0	0	0	0	0	12	0	0	0	4	0	0	0
('h', 'p', 'h')	2	0	0	0	0	0	0	0	0	0	1	0	8	0
('e', 'd', 'f')	1	0	0	0	0	0	1	0	0	0	0	0	5	0
('k', 't', 'ä')	1	0	0	0	0	0	8	0	0	0	0	0	0	0
('"', 'a', 'o')	1	0	15	0	0	0	3	0	0	0	0	0	2	0
('h', '’', 'e')	0	0	0	0	0	1	6	0	0	0	0	0	0	0
('i', '-', 'p')	0	0	0	0	0	1	0	0	0	0	0	0	303	0
('m', ' ', '2')	1	0	0	0	0	0	2	2	2	0	1	2	1263	14
('2', ':', ' ')	1	0	0	0	0	0	0	0	0	1	0	0	0	9
('y', 'f', 'u')	1	0	0	0	0	0	0	1	0	0	0	0	3	1
('4', '0', '0')	0	0	0	0	0	1	0	4	1	5	3	0	737	20
('k', '-', 'b')	0	0	0	0	0	1	0	1	5	0	0	0	161	4
('n', 'z', 'y')	1	0	0	0	0	0	0	0	0	0	0	0	9	5
('y', 'g', 'u')	1	0	0	0	0	0	0	0	0	0	0	0	22	0
('4', '8', '.')	1	0	0	0	0	0	0	0	0	0	0	0	7	3
(' ', 'r', 'l')	0	0	0	0	0	1	0	0	0	0	0	0	21	0
('r', 'o', '-')	1	0	0	0	0	0	3	2	0	0	0	2	418	7
('n', 'ü', 'i')	1	0	0	0	0	0	7	0	0	0	0	0	0	0
('ü', 'i', 'p')	1	0	0	0	0	0	11	0	0	0	0	0	0	0
('a', 'l', '’')	1	0	0	0	0	2	0	7	2	0	0	0	0	0
('k', 'm', 'u')	0	0	0	0	0	2	3	2	1	0	0	0	18	1
('k', 'i', 'b')	0	0	0	5	0	1	4	0	0	0	1	0	3	1
('n', ' ', '8')	1	0	1	0	0	0	5	0	1	1	1	0	531	25
(' ', '8', '0')	1	0	1	0	0	0	4	1	3	3	1	2	868	26
('8', '0', ' ')	1	0	2	0	0	0	5	2	5	1	2	2	678	36
('ü', 'b', 'r')	1	0	0	0	0	0	6	0	0	0	0	0	467	0
('5', ' ', 'g')	0	0	1	0	0	1	2	1	2	0	2	0	150	13
('w', 'ü', 'i')	2	0	0	0	0	0	157	0	0	0	0	0	0	0
(' ', 'u', 'y')	1	0	0	0	0	0	0	0	0	0	0	0	0	11
('u', 'y', 'e')	2	0	0	0	0	0	0	0	0	0	0	0	6	4
('9', '0', '7')	1	0	0	0	0	0	1	0	0	0	0	0	4	9
('r', 's', 'y')	1	0	0	0	0	0	0	0	0	0	0	0	320	0
('a', 'i', 'ß')	3	0	0	0	0	0	7	0	0	0	0	0	0	0
('p', 'ö', 's')	1	0	1	0	0	0	10	0	0	0	0	0	1	0
('u', 't', '´')	1	0	0	0	0	0	5	0	0	0	0	0	0	0
('n', '.', 'n')	2	0	0	0	0	0	0	3	0	0	0	0	17	1
(' ', '(', 'j')	1	0	1	0	0	0	1	5	0	1	7	0	1	14
('(', 'j', 'o')	1	0	0	0	0	0	1	2	0	0	5	0	0	3
('b', 'h', 'i')	0	0	0	0	0	1	0	0	0	0	0	0	73	0
(' ', 'm', 'c')	0	0	0	0	0	1	0	0	4	0	0	0	469	11
('u', 'k', 'ä')	0	0	0	0	0	1	0	0	0	0	1	0	49	0
('i', 'ë', 'd')	1	0	1	0	0	0	19	0	0	0	0	0	0	0
('l', 'v', 'u')	1	0	1	0	0	1	0	1	0	0	0	0	1	5
('k', 'e', '-')	1	0	0	0	0	0	4	6	4	4	0	9	43	6
('e', '-', 'e')	1	0	1	0	0	0	2	3	4	2	1	4	425	8
('y', 'u', 'n')	1	0	0	0	0	0	0	0	0	0	0	0	111	0
('i', 'k', '’')	1	0	0	0	0	0	0	3	1	0	0	1	0	0
('s', 'w', ' ')	0	0	0	0	0	1	0	0	0	0	0	0	20	0
('w', ' ', '-')	0	0	3	0	0	1	0	0	2	0	0	0	6	1
('g', 'a', 'z')	1	0	2	0	0	0	5	1	3	0	0	0	529	15
('m', 'i', 'b')	1	0	0	0	0	0	0	0	0	0	0	0	3	2
('n', 'f', 'z')	0	0	0	0	0	1	0	0	0	0	0	0	40	0
(' ', '*', ' ')	1	0	0	0	0	0	4	0	1	0	0	3	1	2
('*', ' ', 'i')	1	0	0	0	0	0	0	2	0	0	0	1	3	0
(' ', 'b', 'd')	1	0	0	0	0	0	3	0	0	0	1	0	66	0
('ö', 'r', '´')	1	0	0	0	0	0	8	0	0	5	1	0	0	0
('r', '´', 'n')	1	0	0	0	0	0	3	0	0	0	3	0	0	0
('w', 'u', 'f')	2	0	0	0	0	0	2	0	0	0	0	0	7	0
('(', 's', 'p')	1	0	0	0	0	0	0	0	0	1	0	0	0	22
('g', 't', 'ä')	1	0	0	0	0	0	0	0	0	0	0	1	12	0
('2', ' ', 'p')	1	0	0	0	0	0	0	0	0	1	0	0	649	23
('“', ' ', '-')	0	0	18	1	0	1	4	0	0	0	0	0	0	0
('-', ' ', '„')	0	0	3	1	0	1	1	0	0	0	0	0	0	0
('j', 'e', ';')	1	0	3	1	0	0	1	2	0	0	0	0	0	0
('k', 't', 't')	0	0	0	0	0	1	0	0	0	0	0	0	49	1
(' ', '„', 'ä')	1	0	0	0	0	0	3	0	0	0	0	2	0	0
('t', 'ö', 'ß')	1	0	0	0	0	0	0	0	0	0	0	0	259	0
(' ', 't', 'n')	0	0	1	0	0	1	0	2	0	0	0	0	83	1
('-', 'u', 'r')	1	0	1	0	0	0	0	0	0	0	0	0	63	2
('v', 'o', 'd')	0	0	3	0	0	1	1	2	1	0	0	0	594	0
('“', ' ', 'ü')	0	0	0	0	0	1	1	0	0	1	1	5	0	0
('y', 'n', 'g')	1	0	0	0	0	0	0	0	0	4	0	0	2	0
('a', 's', 'y')	1	0	0	0	0	0	0	0	0	0	1	0	174	1
('0', ' ', 'g')	1	0	2	0	0	0	3	8	3	1	1	1	643	49
(' ', '(', '2')	1	0	0	0	0	0	3	6	0	2	1	1	0	119
('(', '2', '0')	1	0	0	0	0	0	1	2	0	1	0	1	1	62
('h', 'a', '’')	1	0	0	0	0	0	6	0	24	0	0	0	0	0
('a', 'b', 'j')	1	0	0	0	0	0	3	0	0	0	0	0	3	0
('b', 'j', 'a')	1	0	0	0	0	0	3	0	0	0	0	0	416	0
('s', 'c', ' ')	0	0	0	0	0	1	0	5	0	0	0	0	138	1
('o', 'l', ')')	1	0	0	0	0	0	1	0	0	0	0	0	0	4
('e', 't', '´')	1	0	0	0	0	0	6	0	0	0	1	0	0	0
('a', 'o', '’')	1	0	4	0	0	0	5	0	21	0	0	0	0	0
('8', ' ', 'b')	1	0	0	0	0	0	1	4	0	2	0	0	179	7
('o', 'p', 'ä')	1	0	0	0	0	0	8	0	0	25	6	2	1690	0
('.', 'j', '.')	1	0	13	0	0	0	0	2	0	1	1	0	3	14
('.', 'k', '.')	1	0	0	0	0	0	0	2	1	0	0	0	3	3
('a', 'g', '“')	1	0	0	0	0	0	1	0	0	1	0	6	0	0
('f', 's', 'ä')	1	0	0	0	0	0	0	0	0	0	0	0	9	0
('u', 'p', 'o')	1	0	0	0	0	0	0	0	0	0	1	0	13	1
('p', 'o', 'f')	1	0	1	1	0	0	0	2	2	0	0	0	2	1
('t', '!', '<')	1	0	0	0	0	0	6	0	0	0	0	0	0	0
('<', ' ', 'd')	1	0	0	0	0	0	21	0	0	0	0	0	0	0
('s', 's', ':')	1	0	0	0	0	0	8	0	0	0	1	0	0	0
('i', 'j', ';')	0	0	4	0	0	0	0	0	0	0	0	0	0	2
('j', ';', ' ')	0	0	7	0	0	0	0	0	0	0	0	0	0	1
('i', 'j', '!')	0	0	2	0	0	0	0	7	1	0	0	0	0	2
(' ', 'i', "'")	0	0	12	0	0	0	0	0	0	0	0	0	3	0
('w', 'd', ',')	0	0	7	0	0	0	0	5	4	0	0	0	0	11
('m', '-', 'e')	0	0	1	0	0	0	0	0	0	0	0	1	91	0
('a', 'o', '-')	0	0	2	5	0	0	1	0	4	0	0	0	6	0
('z', 'e', "'")	0	0	14	2	0	0	0	1	0	0	0	0	0	0
('-', 't', ' ')	0	0	3	0	0	0	0	0	30	0	0	0	24	0
('k', '.', "'")	0	0	1	0	0	0	0	5	1	0	0	0	0	0
('i', 'j', '.')	0	0	17	3	0	0	5	66	84	0	0	0	0	107
(' ', 'd', 'é')	0	0	46	2	0	0	20	6	3	2	1	0	3	6
('d', 'é', ' ')	0	0	18	0	0	0	0	5	0	2	0	0	1	3
('é', ' ', 'a')	0	0	2	0	0	0	1	7	1	0	1	0	5	2
('d', 'i', 'i')	0	0	7	0	0	0	0	0	0	0	0	2	6	0
('ô', 'v', 'e')	0	0	18	0	0	0	0	0	0	0	0	0	0	0
("'", 'e', 'm')	0	0	58	0	0	0	123	0	0	0	0	0	0	0
('e', '?', ' ')	0	0	1	0	0	0	0	0	7	0	0	0	0	2
('r', 'ä', 'ö')	0	0	1	0	0	0	34	0	7	1	0	0	0	0
('ä', 'ö', 't')	0	0	1	0	0	0	22	0	5	1	0	0	0	0
('é', ' ', 'v')	0	0	3	0	0	0	2	4	0	1	0	0	3	8
('?', '”', ',')	0	0	1	0	0	0	0	65	0	0	0	0	0	0
('”', ',', ' ')	0	0	1	0	0	0	1	396	20	0	0	0	0	0
('n', '!', ' ')	0	0	1	0	0	0	1	0	15	0	0	0	4	20
(' ', 'j', 'é')	0	0	1	0	0	0	66	0	0	0	0	0	1	1
('j', 's', ' ')	0	0	12	38	0	0	0	99	12	0	0	0	10	190
('b', 'è', 'd')	0	0	6	0	0	0	0	0	0	0	0	0	0	0
('i', 'j', ',')	0	0	26	17	0	0	2	59	34	1	0	0	0	79
('k', '!', ' ')	0	0	1	0	0	0	0	0	3	1	0	0	1	0
('d', '!', ' ')	0	0	2	0	0	0	0	0	5	0	0	0	1	1
('0', ' ', 'w')	0	0	1	0	0	0	5	9	2	7	1	0	479	43
('t', 'o', '-')	0	0	1	0	0	0	1	5	3	40	3	2	546	15
('o', '-', 'v')	0	0	1	0	0	0	0	2	0	3	1	0	124	6
('i', 'c', ',')	0	0	1	0	0	0	0	2	2	1	1	0	0	6
('e', 'k', '-')	0	0	3	0	0	0	0	3	1	0	0	1	20	13
('n', ' ', 'ò')	0	0	23	0	0	0	0	54	4	0	0	0	0	0
(' ', 'ò', 'v')	0	0	34	0	0	0	0	0	0	0	0	0	0	0
('w', 'è', 'z')	0	0	39	0	0	0	0	0	0	0	0	0	0	0
('è', 'z', 'e')	0	0	52	0	0	0	0	1	0	0	0	0	0	0
('b', ' ', 'z')	0	0	8	1	0	0	0	15	7	0	0	0	233	18
("'", 'e', 'k')	0	0	27	0	0	0	144	2	0	0	0	0	0	0
('o', 'a', 'j')	0	0	5	5	0	0	0	14	5	0	0	0	0	0
('ê', ' ', 'd')	0	0	17	0	0	0	0	0	0	0	0	0	0	0
("'", 'e', 'b')	0	0	32	0	0	0	135	0	0	0	0	0	0	0
(' ', '‘', 'z')	0	0	15	8	0	0	0	11	9	0	0	0	0	0
('’', ' ', 'z')	0	0	139	61	0	0	0	70	113	0	0	0	0	0
('o', "'", 'k')	0	0	35	1	0	0	2	0	0	0	0	0	0	0
('ê', ',', ' ')	0	0	7	1	0	0	0	0	0	0	0	0	0	0
('v', 'e', 'k')	0	0	5	2	0	0	2	73	58	0	0	0	61	1
('k', ' ', 'ò')	0	0	8	0	0	0	0	21	0	0	0	0	0	0
('k', 'e', 'z')	0	0	14	0	0	0	0	23	7	0	0	0	0	0
('é', 'é', 'n')	0	0	26	0	0	0	0	1	32	13	0	0	0	121
('é', 'n', ' ')	0	0	22	1	0	0	69	12	165	13	0	0	0	127
('i', 'j', ':')	0	0	2	1	0	0	1	11	3	0	0	0	0	13
('j', ':', ' ')	0	0	3	1	0	0	1	11	5	0	0	1	0	2
('c', 'u', 'u')	0	0	5	1	0	0	0	2	5	0	0	0	0	2
('k', '-', 'e')	0	0	2	0	0	0	1	1	0	0	0	0	104	10
('-', 'e', 'u')	0	0	5	0	0	0	0	6	2	0	0	0	141	20
('e', 'z', 'è')	0	0	4	0	0	0	0	1	1	0	0	0	0	0
('s', ' ', 'ò')	0	0	9	0	0	0	0	31	0	0	0	0	0	0
(' ', 'm', ' ')	0	0	2	0	0	0	2	23	0	1	1	1	25	11
('s', ' ', 'é')	0	0	4	0	0	0	38	0	4	5	0	0	3	27
(' ', 'é', 'é')	0	0	25	0	0	0	0	1	31	13	0	0	0	117
('é', 'n', ',')	0	0	1	0	0	0	52	0	3	0	0	0	0	0
('v', 'è', 'r')	0	0	3	0	0	0	0	14	0	0	0	0	1	1
('(', 'z', 'o')	0	0	2	0	0	0	0	1	0	0	0	0	0	17
(')', ';', ' ')	0	0	2	0	0	0	2	2	0	0	0	0	0	6
('f', 'd', '.')	0	0	7	2	0	0	0	11	8	0	0	0	2	16
('k', 'o', 'z')	0	0	2	0	0	0	0	14	4	0	0	0	6	64
('o', 'e', 'z')	0	0	46	7	0	0	0	158	142	0	0	0	0	27
("'", 'e', 'j')	0	0	5	0	0	0	4	0	0	0	0	0	0	0
("'", 'e', 'l')	0	0	44	0	0	0	173	1	0	0	0	0	0	0
('h', 'é', ' ')	0	0	6	0	0	0	0	5	3	0	0	0	1	2
('é', ' ', 'w')	0	0	6	0	0	0	3	3	0	0	0	0	3	4
('e', ' ', 'ò')	0	0	15	0	0	0	0	43	8	0	0	0	0	0
(' ', '5', '6')	0	0	1	0	0	0	1	1	0	0	1	0	236	5
('5', '6', ' ')	0	0	1	0	0	0	0	1	0	0	1	0	304	16
(' ', "'", 'w')	0	0	7	0	0	0	11	19	0	3	0	0	0	3
("'", 'w', ' ')	0	0	21	0	0	0	7	0	1	0	0	0	0	0
('3', ' ', 'w')	0	0	1	0	0	0	6	1	0	0	0	1	62	22
('2', ' ', 'v')	0	0	1	0	0	0	0	4	0	2	0	0	171	32
('j', ' ', 'a')	0	0	42	11	0	0	2	126	111	0	3	0	3	129
('l', 'y', ',')	0	0	2	0	0	0	1	0	2	0	2	0	0	1
('l', 'è', 'r')	0	0	3	0	0	0	0	5	0	0	0	0	0	2
('g', '-', 'e')	0	0	1	0	0	0	0	0	0	1	1	3	47	3
('-', 'e', 'e')	0	0	2	0	0	0	0	0	1	1	0	0	5	3
('s', ' ', '6')	0	0	2	0	0	0	6	4	0	1	0	0	292	12
('8', ' ', 'j')	0	0	2	0	0	0	0	4	0	0	1	0	36	16
('o', 'o', 'a')	0	0	11	12	0	0	0	0	0	0	0	0	1	0
("'", 'e', 'v')	0	0	14	0	0	0	0	0	0	0	0	0	0	2
('e', 'f', ')')	0	0	3	0	0	0	0	7	0	0	0	0	0	4
('f', ')', ',')	0	0	3	0	0	0	0	0	0	0	0	0	0	8
('m', ' ', 'ò')	0	0	2	0	0	0	0	20	0	0	0	0	0	0
(' ', 'z', 'è')	0	0	28	1	0	0	0	14	1	0	0	0	0	0
('r', 'k', 'z')	0	0	3	1	0	0	0	1	9	0	0	0	220	25
('z', 'a', 'a')	0	0	15	1	0	0	0	159	94	0	0	0	1	239
('(', 'd', 'o')	0	0	1	0	0	0	4	1	0	0	0	0	0	2
('a', ')', ',')	0	0	1	0	0	0	1	0	0	0	0	0	0	6
('v', 'l', 'e')	0	0	32	11	0	0	3	57	28	1	0	0	21	52
('w', 'i', 'j')	0	0	43	38	0	0	7	370	236	0	0	0	8	855
('b', 'e', '?')	0	0	2	1	0	0	1	0	1	0	0	2	0	0
('k', 'a', '?')	0	0	1	0	0	0	1	0	0	0	0	0	0	18
('v', 'r', 'è')	0	0	17	0	0	0	0	0	0	0	0	0	0	0
('f', ' ', '2')	0	0	3	0	0	0	1	0	1	0	2	0	500	17
(' ', '2', '8')	0	0	3	1	0	0	14	2	0	5	1	0	451	29
('2', '8', ' ')	0	0	2	1	0	0	9	2	0	2	2	0	483	26
('3', ' ', 'j')	0	0	1	0	0	0	1	3	0	1	0	0	30	20
('0', ' ', '-')	0	0	1	0	0	0	5	1	1	0	0	0	36	56
('-', ' ', '2')	0	0	1	0	0	0	25	0	0	0	0	0	16	21
('8', ' ', 'e')	0	0	1	0	0	0	1	2	1	2	0	0	131	14
('s', ' ', '5')	0	0	1	0	0	0	0	1	0	2	0	0	368	4
('1', ' ', 'j')	0	0	1	0	0	0	1	2	0	0	1	0	19	73
('1', '8', '1')	0	0	1	0	0	0	3	1	0	0	5	0	19	21
('8', '1', '9')	0	0	1	0	0	0	0	0	0	0	0	0	10	1
('1', '9', '.')	0	0	1	0	0	0	6	3	2	1	1	1	131	6
('g', ' ', '6')	0	0	1	0	0	0	0	1	0	0	1	0	25	6
('6', ' ', 'j')	0	0	1	0	0	0	3	7	1	0	0	0	23	16
('l', 'è', 'g')	0	0	11	0	0	0	0	4	0	0	0	0	0	0
('z', 'o', ' ')	0	0	11	0	0	0	2	953	414	0	0	0	24	355
('h', 'è', 'l')	0	0	12	0	0	0	0	1	0	0	0	0	0	0
('r', 'c', 'u')	0	0	2	0	0	0	1	8	1	0	0	0	126	41
('k', 'r', 'î')	0	0	3	0	0	0	77	0	0	0	0	0	0	0
('r', 'î', 'g')	0	0	3	0	0	0	17	0	0	0	0	0	0	0
('a', "'", 'j')	0	0	60	3	0	0	0	1	0	0	0	0	0	0
('z', 'a', "'")	0	0	21	1	0	0	0	0	0	0	0	0	0	0
('u', "'", 'j')	0	0	22	0	0	0	0	0	0	0	0	0	0	0
('b', 'î', 's')	0	0	2	0	0	0	27	0	0	0	0	0	0	0
(' ', 'z', 'î')	0	0	4	0	0	0	3	0	0	0	0	0	0	0
('w', 'n', 'e')	0	0	1	0	0	0	0	1	1	0	0	0	24	0
(' ', 'm', 'û')	0	0	1	0	0	0	9	0	0	0	0	0	0	0
('d', 'r', 'ô')	0	0	7	0	0	0	0	0	0	0	0	0	0	0
(' ', 'm', 'ô')	0	0	61	5	0	0	1	0	0	0	0	0	0	0
("'", 'j', ',')	0	0	10	0	0	0	0	0	0	0	0	0	0	0
('f', 'd', 's')	0	0	1	0	0	0	0	11	5	0	0	0	1	164
('à', 'v', 'e')	0	0	7	0	0	0	0	0	0	0	0	0	0	0
('a', 'o', 'z')	0	0	20	5	0	0	0	0	24	0	0	0	0	0
('r', 'è', 'j')	0	0	7	0	0	0	0	0	0	0	0	0	0	0
('è', 'j', 'e')	0	0	6	0	0	0	0	0	0	0	0	0	0	0
('t', ' ', '"')	0	0	3	0	0	0	2	1	0	12	4	0	3542	94
('l', 't', 'î')	0	0	10	0	0	0	12	0	0	0	0	0	0	0
(' ', 'k', 'ô')	0	0	11	2	0	0	0	0	0	0	0	0	0	0
('a', 'e', "'")	0	0	13	0	0	0	0	0	0	0	0	0	0	0
('e', "'", 'j')	0	0	13	0	0	0	0	4	0	0	0	0	0	0
(' ', 'k', 'î')	0	0	3	0	0	0	19	0	0	0	0	0	0	0
('k', 'î', 'k')	0	0	4	0	0	0	31	0	0	0	0	0	0	0
(' ', 'e', 'z')	0	0	34	1	0	0	1	14	36	0	0	1	34	5
('r', 'w', 'î')	0	0	1	0	0	0	8	0	0	0	0	0	0	0
('î', 'l', ' ')	0	0	1	0	0	0	89	0	0	0	0	0	0	0
('s', 'v', 'r')	0	0	3	1	0	0	0	5	2	0	0	0	0	29
('î', 'g', 'e')	0	0	2	0	0	0	56	0	0	0	0	0	0	0
('g', 'i', 'é')	0	0	3	0	0	0	98	3	0	0	0	0	0	0
('i', 'é', 't')	0	0	26	0	0	0	142	5	0	0	0	0	0	2
('é', 't', ' ')	0	0	23	0	0	0	74	5	3	0	0	0	0	2
('v', 'r', 'ö')	0	0	31	3	0	0	0	5	17	12	0	0	0	0
('o', ' ', '"')	0	0	1	0	0	0	0	0	0	1	0	0	269	1
('d', 'i', 'é')	0	0	4	0	0	0	162	2	0	0	0	0	1	0
('i', 'é', 'n')	0	0	5	0	0	0	197	9	0	0	0	0	0	0
('é', 'n', 'e')	0	0	14	0	0	0	0	0	6	0	0	0	0	0
('z', 'i', 'é')	0	0	4	0	0	0	1	1	1	0	0	0	0	0
('i', 'é', 'l')	0	0	2	0	0	0	183	0	0	0	0	0	0	0
('n', 'i', 'é')	0	0	20	0	0	0	15	5	0	0	0	0	0	0
(' ', 'm', 'ó')	0	0	39	0	0	0	0	7	1	0	0	0	0	0
('d', 'r', 'è')	0	0	5	0	0	0	0	2	2	0	0	0	0	0
('e', 'g', 'è')	0	0	7	0	0	0	0	0	0	0	0	0	0	0
('g', 'è', 'v')	0	0	6	0	0	0	0	0	0	0	0	0	0	0
('è', 'v', 'e')	0	0	43	0	0	0	0	0	0	0	0	0	0	2
('j', ' ', 'g')	0	0	22	8	0	0	0	114	80	0	0	0	2	122
('s', ' ', '"')	0	0	2	0	0	0	1	0	0	3	1	0	3604	59
('r', 'î', 'n')	0	0	1	0	0	0	15	0	0	0	0	0	0	0
(' ', 'z', 'ì')	0	0	21	0	0	0	0	0	0	0	0	0	0	0
('z', 'ì', 'n')	0	0	7	0	0	0	0	0	0	0	0	0	0	0
('ì', 'n', ' ')	0	0	4	0	0	0	0	159	0	0	0	0	0	0
('e', 'w', 'î')	0	0	1	0	0	0	11	0	0	0	0	0	0	0
('g', 'm', 'i')	0	0	1	2	0	0	0	11	3	4	0	1	18	22
('z', 'è', 'g')	0	0	6	1	0	0	0	9	1	0	0	0	0	0
('î', 'f', ' ')	0	0	5	0	0	0	60	0	0	0	0	0	0	0
('d', 'e', 'ê')	0	0	5	6	0	0	0	0	0	0	0	0	0	0
('e', 'ê', 'n')	0	0	5	1	0	0	0	0	0	0	0	0	0	0
('ê', 'n', ' ')	0	0	23	7	0	0	0	0	0	0	0	0	0	0
('m', 'z', 'a')	0	0	1	0	0	0	0	1	0	0	0	0	31	0
('l', 'i', 'é')	0	0	3	0	0	0	458	1	0	0	0	0	18	0
('k', 'u', "'")	0	0	15	0	0	0	0	0	0	0	0	0	1	0
(' ', 'v', 'ó')	0	0	16	0	0	0	0	1	1	0	0	0	0	12
('j', 'k', 'a')	0	0	1	0	0	0	0	0	0	0	0	0	1	14
('u', 'u', 'z')	0	0	21	0	0	0	0	1	1	0	0	0	0	0
