PoS-tag n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	DEU	NDL
('PROPN', 'NOUN')	130	101	62	24	133	14	185	209	65	24	19	22	6324	672
('PROPN', 'PRON')	140	344	50	29	275	5	138	192	89	19	12	48	1516	232
('SCONJ', 'NOUN')	178	53	49	33	141	19	152	289	83	22	22	65	1851	676
('NOUN', 'NUM')	43	112	12	0	122	10	205	147	67	89	22	71	9990	879
('PROPN', 'PART')	55	81	19	10	111	1	52	55	62	10	11	33	1981	152
('AUX', 'PROPN')	112	237	54	26	215	4	130	168	111	35	28	122	6762	603
('SCONJ', 'ADP')	81	61	58	21	115	6	47	139	66	39	10	43	1545	327
('NUM', 'DET')	1	16	8	1	9	0	22	19	11	17	17	8	1450	146
('INTJ', 'NOUN')	56	93	28	11	135	6	28	58	19	11	8	14	0	0
('VERB', 'INTJ')	5	12	4	0	7	1	6	20	4	0	2	17	0	0
('CCONJ', 'NUM')	49	107	18	15	78	5	64	64	59	38	12	69	3625	167
('NUM', 'PUNCT')	42	215	40	5	138	5	552	201	49	81	42	116	4458	1870
('PROPN', 'ADJ')	68	255	44	22	217	6	91	147	92	19	35	33	7490	399
('PUNCT', 'PART')	117	152	44	18	150	8	89	101	47	23	17	106	1169	105
('NUM', 'ADP')	21	177	9	7	130	2	54	111	62	73	23	21	5142	542
('PRON', 'NUM')	56	141	21	3	91	7	53	42	34	39	11	33	830	94
('NUM', 'ADV')	6	42	4	0	24	3	22	22	15	20	7	9	1087	74
('ADP', 'SCONJ')	4	10	50	15	11	0	12	149	71	4	3	1	3	196
('INTJ', 'PRON')	14	81	51	8	76	4	11	76	53	3	7	24	0	0
('SCONJ', 'PART')	25	13	11	1	10	0	5	9	5	0	0	3	189	104
('INTJ', 'DET')	16	23	14	3	27	1	13	46	13	3	2	19	0	0
('DET', 'DET')	77	79	48	15	211	12	71	35	17	25	12	47	516	137
('PART', 'AUX')	48	40	55	17	120	8	39	77	49	3	6	14	2457	284
('VERB', 'SCONJ')	13	33	105	42	24	2	22	684	399	1	1	7	26	1357
('AUX', 'SCONJ')	2	3	25	10	77	1	48	135	73	0	1	4	34	230
('NUM', 'CCONJ')	18	34	11	6	33	1	16	27	20	13	3	20	2002	171
('CCONJ', 'CCONJ')	30	62	16	9	123	1	18	25	14	13	16	20	280	9
('PROPN', 'NUM')	7	10	4	0	18	1	132	74	14	29	14	10	6064	317
('NUM', 'NUM')	6	10	1	3	8	3	31	21	6	4	3	12	425	101
('DET', 'PUNCT')	60	135	39	49	154	4	194	157	32	51	37	286	4236	327
('SCONJ', 'CCONJ')	0	2	0	0	4	0	0	10	0	2	0	4	92	8
('VERB', 'NUM')	81	115	10	3	75	5	92	62	25	37	16	28	1333	137
('NOUN', 'INTJ')	7	7	6	1	10	0	18	14	1	0	0	27	0	0
('DET', 'AUX')	7	9	13	11	6	0	10	11	8	1	0	0	70	15
('ADJ', 'NUM')	7	49	12	3	59	3	16	45	43	17	15	18	3870	92
('SCONJ', 'SCONJ')	59	21	37	19	68	9	162	85	26	2	5	53	74	59
('PART', 'NUM')	6	9	1	0	3	0	3	2	1	1	0	8	11	1
('NUM', 'AUX')	8	25	3	0	11	0	59	32	16	38	5	14	1717	253
('DET', 'CCONJ')	10	15	5	7	26	0	7	9	3	6	3	10	267	12
('PART', 'NOUN')	49	47	22	8	83	3	64	51	11	6	1	13	108	59
('SCONJ', 'ADJ')	24	29	18	13	28	7	28	94	48	9	6	13	1419	286
('DET', 'ADP')	23	32	33	18	58	1	19	72	68	8	4	7	5209	227
('INTJ', 'PROPN')	22	25	22	20	79	2	25	31	14	4	2	11	0	0
('INTJ', 'ADV')	20	66	29	4	70	7	20	79	27	5	6	32	0	0
('NUM', 'PART')	0	3	0	1	4	0	1	2	5	5	0	1	204	15
('PART', 'SCONJ')	2	5	8	0	1	1	2	45	38	1	0	1	2	38
('SCONJ', 'NUM')	3	2	7	3	8	1	2	15	19	5	0	1	156	171
('INTJ', 'ADJ')	14	11	5	0	28	0	16	16	5	1	4	14	0	0
